region,Year,total_outbreaks,unique_diseases,countries_affected
Africa,2010,31,7,20
Africa,2011,15,8,11
Africa,2012,22,8,17
Africa,2013,16,4,14
Africa,2014,16,6,14
Africa,2015,10,8,9
Africa,2016,14,8,12
Africa,2017,23,12,14
Africa,2018,26,11,17
Africa,2019,35,9,25
Africa,2020,75,13,55
Africa,2021,94,10,55
Africa,2022,108,13,56
Africa,2023,107,17,52
Africa,2024,90,14,45
Africa,2025,60,7,40
Americas,2010,20,3,19
Americas,2011,8,2,7
Americas,2012,1,1,1
Americas,2013,2,2,2
Americas,2014,6,6,3
Americas,2015,17,4,13
Americas,2016,24,6,20
Americas,2017,4,3,3
Americas,2018,2,2,1
Americas,2019,10,5,8
Americas,2020,66,7,55
Americas,2021,59,4,55
Americas,2022,75,7,55
Americas,2023,110,9,53
Americas,2024,90,6,49
Americas,2025,55,7,33
Asia,2010,17,4,16
Asia,2011,7,4,7
Asia,2012,8,3,6
Asia,2013,10,3,10
Asia,2014,11,3,11
Asia,2015,19,6,17
Asia,2016,13,6,11
Asia,2017,11,6,11
Asia,2018,9,5,9
Asia,2019,32,6,27
Asia,2020,51,5,45
Asia,2021,54,7,46
Asia,2022,87,12,46
Asia,2023,67,13,41
Asia,2024,49,8,31
Asia,2025,48,15,28
Europe,2010,3,2,2
Europe,2011,18,3,14
Europe,2012,2,2,2
Europe,2013,5,1,5
Europe,2014,7,4,7
Europe,2015,11,6,9
Europe,2016,6,4,6
Europe,2017,19,4,15
Europe,2018,4,3,3
Europe,2019,11,7,8
Europe,2020,49,1,49
Europe,2021,51,4,48
Europe,2022,122,10,48
Europe,2023,60,6,45
Europe,2024,45,5,38
Europe,2025,40,2,38
Oceania,2010,2,1,2
Oceania,2016,1,1,1
Oceania,2018,2,2,2
Oceania,2019,7,2,7
Oceania,2020,13,1,13
Oceania,2021,15,1,15
Oceania,2022,26,3,24
Oceania,2023,23,1,23
Oceania,2024,27,3,18
Oceania,2025,4,3,4
